iter	Logloss
0	0.6783521487
1	0.6670620102
2	0.6539416443
3	0.6413316747
4	0.6314905391
5	0.6195128121
6	0.6089031016
7	0.6016051545
8	0.5914771567
9	0.5821685397
10	0.5720529314
11	0.5679747954
12	0.5586648443
13	0.5526248029
14	0.5505807789
15	0.5471478912
16	0.5449641455
17	0.537576405
18	0.5319540244
19	0.5250383773
20	0.5197696488
21	0.5165577544
22	0.5095796151
23	0.5044121674
24	0.5003544023
25	0.4932455737
26	0.4850581507
27	0.478444207
28	0.4719085986
29	0.4680778091
30	0.4633419586
31	0.457813358
32	0.4526357003
33	0.4465649729
34	0.44331722
35	0.4394249834
36	0.4354397018
37	0.4327427395
38	0.4286983466
39	0.4267515334
40	0.4220702562
41	0.4189427625
42	0.4142356773
43	0.40745241
44	0.4046517267
45	0.4036196615
46	0.4011025487
47	0.3996020319
48	0.3953495659
49	0.3934275716
50	0.391284102
51	0.3900245256
52	0.3893206418
53	0.3869114592
54	0.3773195337
55	0.3740081444
56	0.3696424984
57	0.3671306278
58	0.3642021207
59	0.3635172715
60	0.3526103435
61	0.3518958633
62	0.3498012533
63	0.3486191355
64	0.3456577931
65	0.3441319814
66	0.3426265263
67	0.340036709
68	0.338463006
69	0.3372410776
70	0.3353761331
71	0.3336630917
72	0.3323443434
73	0.3300387135
74	0.3287455805
75	0.3278697946
76	0.3270336763
77	0.3241413195
78	0.3229043819
79	0.3187873802
80	0.3162459462
81	0.3147094416
82	0.3091112638
83	0.3065915899
84	0.3043568881
85	0.3015706267
86	0.2986257524
87	0.2966267927
88	0.2954526412
89	0.2946791353
90	0.2920210457
91	0.290204281
92	0.2879371696
93	0.2853678428
94	0.283302181
95	0.2812955803
96	0.2803910184
97	0.2796911661
98	0.2788566138
99	0.2760311033
