iter	Passed	Remaining
0	57	5663
1	57	2826
2	58	1880
3	58	1405
4	58	1120
5	59	930
6	59	795
7	60	693
8	60	613
9	61	550
10	61	497
11	62	454
12	62	417
13	62	386
14	63	358
15	63	334
16	64	313
17	64	294
18	64	277
19	65	261
20	65	248
21	66	235
22	66	223
23	67	212
24	67	202
25	68	195
26	69	187
27	69	179
28	70	171
29	70	164
30	70	157
31	71	151
32	71	145
33	72	140
34	72	134
35	72	129
36	73	124
37	73	120
38	74	116
39	74	111
40	74	107
41	75	104
42	75	100
43	76	97
44	76	93
45	77	90
46	77	87
47	77	84
48	78	81
49	78	78
50	79	76
51	79	73
52	79	70
53	80	68
54	80	66
55	81	63
56	81	61
57	82	59
58	82	57
59	83	55
60	83	53
61	83	51
62	84	49
63	84	47
64	85	45
65	85	44
66	85	42
67	86	40
68	86	39
69	87	37
70	87	35
71	88	34
72	88	32
73	89	31
74	89	29
75	89	28
76	90	27
77	90	25
78	91	24
79	91	22
80	92	21
81	92	20
82	93	19
83	93	17
84	93	16
85	94	15
86	94	14
87	95	12
88	95	11
89	95	10
90	96	9
91	96	8
92	97	7
93	97	6
94	97	5
95	98	4
96	98	3
97	99	2
98	99	1
99	100	0
