iter	Logloss
0	0.6774916044
1	0.6627234963
2	0.6506102632
3	0.6379285004
4	0.6277257334
5	0.6116701244
6	0.6091418007
7	0.6070966379
8	0.592105096
9	0.5812571039
10	0.5696805981
11	0.5669593419
12	0.5652615967
13	0.5605855051
14	0.5537437331
15	0.55239451
16	0.5432640722
17	0.5386638472
18	0.5351374743
19	0.5334619597
20	0.5309889052
21	0.5270795187
22	0.5259640239
23	0.5194476789
24	0.5181433517
25	0.5132532107
26	0.5104424856
27	0.5018718052
28	0.4987022774
29	0.4934245168
30	0.4882190606
31	0.4826398426
32	0.4785101986
33	0.4776743435
34	0.4735997646
35	0.4706530971
36	0.4686979789
37	0.4639463641
38	0.4605714826
39	0.4558505224
40	0.4541813112
41	0.4530257076
42	0.4477505514
43	0.4407000344
44	0.4343996846
45	0.4308595906
46	0.429591138
47	0.428727901
48	0.4274566411
49	0.426314859
